"plots","r","treatments","distance"
101,1,"blue",95
102,2,"blue",96
103,3,"blue",72
104,1,"yellow",148
105,1,"green",84
106,2,"green",60
107,4,"blue",109
108,2,"yellow",157
109,3,"yellow",153
110,3,"green",83
111,5,"blue",124
112,4,"green",77
113,5,"green",65
114,6,"green",120
115,7,"green",83
116,8,"green",71
117,6,"blue",97
118,9,"green",72
119,7,"blue",94
120,4,"yellow",132
121,10,"green",75
122,8,"blue",90
123,5,"yellow",127
124,11,"green",71
125,12,"green",70
126,13,"green",74
127,14,"green",98
128,15,"green",76
129,9,"blue",107
130,6,"yellow",131
131,7,"yellow",134
132,10,"blue",74
133,11,"blue",72
134,16,"green",88
135,12,"blue",81
136,8,"yellow",102
137,17,"green",60
138,9,"yellow",122
139,13,"blue",74
140,18,"green",104
141,10,"yellow",126
142,14,"blue",84
143,11,"yellow",91
144,12,"yellow",123
145,19,"green",63
146,20,"green",70
147,13,"yellow",118
148,14,"yellow",107
149,15,"blue",87
150,16,"blue",89
151,17,"blue",86
152,15,"yellow",133
153,21,"green",65
154,18,"blue",82
155,19,"blue",79
156,20,"blue",74
157,16,"yellow",107
158,22,"green",67
159,21,"blue",92
160,17,"yellow",125
161,18,"yellow",117
162,23,"green",66
163,22,"blue",89
164,19,"yellow",116
165,20,"yellow",111
166,24,"green",95
167,23,"blue",76
168,24,"blue",71
169,25,"blue",81
170,25,"green",76
171,26,"green",117
172,26,"blue",89
173,27,"blue",82
174,28,"blue",88
175,27,"green",85
176,28,"green",70
177,21,"yellow",73
178,29,"blue",87
179,30,"blue",76
180,29,"green",97
181,22,"yellow",126
182,23,"yellow",128
183,30,"green",82
184,24,"yellow",127
185,25,"yellow",121
186,26,"yellow",124
187,31,"green",81
188,27,"yellow",138
189,32,"green",70
190,31,"blue",77
191,28,"yellow",118
192,29,"yellow",119
193,30,"yellow",112
194,33,"green",111
195,34,"green",93
196,31,"yellow",117
197,32,"blue",88
198,35,"green",80
199,32,"yellow",125
200,33,"blue",78
201,33,"yellow",85
202,36,"green",68
203,34,"yellow",95
204,37,"green",59
205,34,"blue",70
206,38,"green",77
207,35,"yellow",80
208,39,"green",106
209,40,"green",90
210,35,"blue",82
211,36,"yellow",69
212,37,"yellow",121
213,38,"yellow",118
214,41,"green",74
215,36,"blue",63
216,37,"blue",73
217,42,"green",90
218,38,"blue",70
219,39,"yellow",111
220,39,"blue",83
221,43,"green",75
222,40,"blue",77
223,40,"yellow",136
224,41,"blue",82
225,44,"green",135
226,45,"green",134
227,42,"blue",84
228,46,"green",72
229,43,"blue",76
230,44,"blue",77
231,41,"yellow",126
232,47,"green",137
233,45,"blue",83
234,46,"blue",84
235,48,"green",156
236,47,"blue",75
237,49,"green",99
238,42,"yellow",127
239,43,"yellow",72
240,44,"yellow",61
241,48,"blue",49
242,50,"green",50
243,49,"blue",64
244,45,"yellow",118
245,46,"yellow",132
246,47,"yellow",81
247,51,"green",69
248,48,"yellow",97
249,49,"yellow",72
250,50,"yellow",104
251,52,"green",48
252,53,"green",49
253,51,"yellow",100
254,52,"yellow",123
255,50,"blue",84
256,51,"blue",56
257,52,"blue",60
258,53,"blue",65
259,53,"yellow",110
